Disparity of Point  10347 =  (1063, 127) = 28
Disparity of Point  14158 =  (1010, 167) = 24
Disparity of Point  14159 =  (1010, 167) = 24
Disparity of Point  14160 =  (1011, 167) = 24
Disparity of Point  14161 =  (1020, 167) = 25
Disparity of Point  14162 =  (1020, 167) = 25
Disparity of Point  14163 =  (1025, 167) = 25
Disparity of Point  14164 =  (1025, 167) = 25
Disparity of Point  14165 =  (1038, 167) = 26
Disparity of Point  14181 =  (399, 168) = 10
Disparity of Point  14182 =  (409, 168) = 10
Disparity of Point  14183 =  (409, 168) = 10
Disparity of Point  14184 =  (417, 168) = 10
Disparity of Point  14185 =  (417, 168) = 10
Disparity of Point  14188 =  (448, 168) = 8
Disparity of Point  14189 =  (448, 168) = 8
Disparity of Point  14190 =  (449, 168) = 8
Disparity of Point  14197 =  (481, 168) = 6
Disparity of Point  14198 =  (481, 168) = 6
Disparity of Point  14204 =  (499, 168) = 8
Disparity of Point  14228 =  (688, 168) = 5
Disparity of Point  14229 =  (688, 168) = 5
Disparity of Point  14230 =  (694, 168) = 5
Disparity of Point  14231 =  (694, 168) = 5
Disparity of Point  14234 =  (753, 168) = 12
Disparity of Point  14235 =  (753, 168) = 12
Disparity of Point  14236 =  (755, 168) = 12
Disparity of Point  14237 =  (755, 168) = 12
Disparity of Point  14238 =  (757, 168) = 12
Disparity of Point  14239 =  (757, 168) = 12
Disparity of Point  14240 =  (758, 168) = 12
Disparity of Point  14245 =  (850, 168) = 15
Disparity of Point  14246 =  (850, 168) = 15
Disparity of Point  14247 =  (853, 168) = 15
Disparity of Point  14248 =  (853, 168) = 15
Disparity of Point  14249 =  (854, 168) = 15
Disparity of Point  14250 =  (854, 168) = 15
Disparity of Point  14251 =  (856, 168) = 15
Disparity of Point  14262 =  (945, 168) = 20
Disparity of Point  14263 =  (950, 168) = 21
Disparity of Point  14264 =  (950, 168) = 21
Disparity of Point  14267 =  (952, 168) = 21
Disparity of Point  14270 =  (967, 168) = 22
Disparity of Point  14271 =  (967, 168) = 22
Disparity of Point  14272 =  (968, 168) = 22
Disparity of Point  14274 =  (990, 168) = 23
Disparity of Point  14275 =  (990, 168) = 23
Disparity of Point  14277 =  (992, 168) = 23
Disparity of Point  14278 =  (992, 168) = 23
Disparity of Point  14279 =  (992, 168) = 23
Disparity of Point  14282 =  (1003, 168) = 24
Disparity of Point  14283 =  (1004, 168) = 24
Disparity of Point  14284 =  (1004, 168) = 24
Disparity of Point  14287 =  (1006, 168) = 24
Disparity of Point  14288 =  (1006, 168) = 24
Disparity of Point  14295 =  (1024, 168) = 25
Disparity of Point  14297 =  (1026, 168) = 25
Disparity of Point  14298 =  (1026, 168) = 25
Disparity of Point  14300 =  (1035, 168) = 26
Disparity of Point  14301 =  (1035, 168) = 26
Disparity of Point  14302 =  (1038, 168) = 26
Disparity of Point  14303 =  (1045, 168) = 27
Disparity of Point  14308 =  (384, 169) = 10
Disparity of Point  14309 =  (384, 169) = 10
Disparity of Point  14318 =  (446, 169) = 8
Disparity of Point  14319 =  (446, 169) = 8
Disparity of Point  14320 =  (463, 169) = 7
Disparity of Point  14321 =  (463, 169) = 7
Disparity of Point  14322 =  (465, 169) = 7
Disparity of Point  14323 =  (465, 169) = 7
Disparity of Point  14330 =  (694, 169) = 5
Disparity of Point  14331 =  (694, 169) = 5
Disparity of Point  14332 =  (721, 169) = 24
Disparity of Point  14336 =  (753, 169) = 12
Disparity of Point  14337 =  (753, 169) = 12
Disparity of Point  14338 =  (755, 169) = 12
Disparity of Point  14339 =  (755, 169) = 12
Disparity of Point  14340 =  (757, 169) = 12
Disparity of Point  14341 =  (757, 169) = 12
Disparity of Point  14346 =  (852, 169) = 15
Disparity of Point  14347 =  (852, 169) = 15
Disparity of Point  14364 =  (942, 169) = 20
Disparity of Point  14365 =  (943, 169) = 20
Disparity of Point  14366 =  (945, 169) = 20
Disparity of Point  14367 =  (945, 169) = 20
Disparity of Point  14368 =  (952, 169) = 21
Disparity of Point  14369 =  (953, 169) = 21
Disparity of Point  14370 =  (953, 169) = 21
Disparity of Point  14372 =  (956, 169) = 21
Disparity of Point  14373 =  (956, 169) = 21
Disparity of Point  14374 =  (970, 169) = 22
Disparity of Point  14375 =  (970, 169) = 22
Disparity of Point  14385 =  (994, 169) = 23
Disparity of Point  14386 =  (994, 169) = 23
Disparity of Point  14390 =  (1001, 169) = 24
Disparity of Point  14391 =  (1001, 169) = 24
Disparity of Point  14392 =  (1003, 169) = 24
Disparity of Point  14393 =  (1003, 169) = 24
Disparity of Point  14394 =  (1007, 169) = 24
Disparity of Point  14395 =  (1007, 169) = 24
Disparity of Point  14398 =  (1016, 169) = 25
Disparity of Point  14399 =  (1016, 169) = 25
Disparity of Point  14400 =  (1020, 169) = 25
Disparity of Point  14403 =  (1022, 169) = 25
Disparity of Point  14404 =  (1022, 169) = 25
Disparity of Point  14407 =  (1024, 169) = 25
Disparity of Point  14408 =  (1027, 169) = 25
Disparity of Point  14412 =  (1060, 169) = 27
Disparity of Point  14417 =  (1066, 169) = 28
Disparity of Point  14420 =  (393, 170) = 10
Disparity of Point  14426 =  (416, 170) = 10
Disparity of Point  14427 =  (416, 170) = 10
Disparity of Point  14428 =  (419, 170) = 10
Disparity of Point  14429 =  (419, 170) = 10
Disparity of Point  14430 =  (424, 170) = 9
Disparity of Point  14431 =  (446, 170) = 8
Disparity of Point  14432 =  (447, 170) = 8
Disparity of Point  14433 =  (464, 170) = 7
Disparity of Point  14434 =  (464, 170) = 7
Disparity of Point  14435 =  (465, 170) = 7
Disparity of Point  14454 =  (722, 170) = 24
Disparity of Point  14455 =  (722, 170) = 24
Disparity of Point  14463 =  (806, 170) = 12
Disparity of Point  14464 =  (806, 170) = 12
Disparity of Point  14473 =  (909, 170) = 18
Disparity of Point  14474 =  (909, 170) = 18
Disparity of Point  14475 =  (910, 170) = 18
Disparity of Point  14476 =  (910, 170) = 18
Disparity of Point  14477 =  (911, 170) = 18
Disparity of Point  14478 =  (911, 170) = 18
Disparity of Point  14481 =  (920, 170) = 19
Disparity of Point  14482 =  (929, 170) = 19
Disparity of Point  14488 =  (942, 170) = 20
Disparity of Point  14489 =  (950, 170) = 21
Disparity of Point  14490 =  (950, 170) = 21
Disparity of Point  14493 =  (955, 170) = 21
Disparity of Point  14499 =  (992, 170) = 23
Disparity of Point  14500 =  (992, 170) = 23
Disparity of Point  14504 =  (1003, 170) = 24
Disparity of Point  14505 =  (1003, 170) = 24
Disparity of Point  14506 =  (1008, 170) = 24
Disparity of Point  14507 =  (1008, 170) = 24
Disparity of Point  14510 =  (1047, 170) = 27
Disparity of Point  14511 =  (1047, 170) = 27
Disparity of Point  14519 =  (1059, 170) = 27
Disparity of Point  14520 =  (1059, 170) = 27
Disparity of Point  14521 =  (1060, 170) = 27
Disparity of Point  14528 =  (372, 171) = 14
Disparity of Point  14529 =  (372, 171) = 14
Disparity of Point  14535 =  (416, 171) = 10
Disparity of Point  14542 =  (495, 171) = 8
Disparity of Point  14543 =  (495, 171) = 8
Disparity of Point  14544 =  (498, 171) = 8
Disparity of Point  14545 =  (498, 171) = 8
Disparity of Point  14561 =  (723, 171) = 24
Disparity of Point  14562 =  (723, 171) = 24
Disparity of Point  14569 =  (751, 171) = 12
Disparity of Point  14570 =  (751, 171) = 12
Disparity of Point  14574 =  (760, 171) = 12
Disparity of Point  14575 =  (760, 171) = 12
Disparity of Point  14579 =  (857, 171) = 15
Disparity of Point  14580 =  (858, 171) = 15
Disparity of Point  14581 =  (899, 171) = 18
Disparity of Point  14582 =  (899, 171) = 18
Disparity of Point  14592 =  (925, 171) = 19
Disparity of Point  14593 =  (925, 171) = 19
Disparity of Point  14594 =  (926, 171) = 19
Disparity of Point  14605 =  (951, 171) = 21
Disparity of Point  14606 =  (954, 171) = 21
Disparity of Point  14607 =  (954, 171) = 21
Disparity of Point  14611 =  (989, 171) = 23
Disparity of Point  14617 =  (1004, 171) = 24
Disparity of Point  14618 =  (1004, 171) = 24
Disparity of Point  14619 =  (1004, 171) = 24
Disparity of Point  14620 =  (1007, 171) = 24
Disparity of Point  14621 =  (1007, 171) = 24
Disparity of Point  14622 =  (1008, 171) = 24
Disparity of Point  14623 =  (1011, 171) = 24
Disparity of Point  14624 =  (1011, 171) = 24
Disparity of Point  14625 =  (1016, 171) = 25
Disparity of Point  14626 =  (1017, 171) = 25
Disparity of Point  14627 =  (1017, 171) = 25
Disparity of Point  14639 =  (1043, 171) = 26
Disparity of Point  14640 =  (1043, 171) = 26
Disparity of Point  14667 =  (498, 172) = 8
Disparity of Point  14668 =  (498, 172) = 8
Disparity of Point  14682 =  (687, 172) = 5
Disparity of Point  14683 =  (687, 172) = 5
Disparity of Point  14684 =  (694, 172) = 5
Disparity of Point  14685 =  (694, 172) = 5
Disparity of Point  14692 =  (807, 172) = 12
Disparity of Point  14693 =  (807, 172) = 12
Disparity of Point  14716 =  (921, 172) = 19
Disparity of Point  14717 =  (921, 172) = 19
Disparity of Point  14720 =  (953, 172) = 21
Disparity of Point  14721 =  (953, 172) = 21
Disparity of Point  14727 =  (988, 172) = 23
Disparity of Point  14728 =  (989, 172) = 23
Disparity of Point  14753 =  (1054, 172) = 27
Disparity of Point  14754 =  (1056, 172) = 27
Disparity of Point  14755 =  (1057, 172) = 27
Disparity of Point  14756 =  (1057, 172) = 27
Disparity of Point  14759 =  (377, 173) = 11
Disparity of Point  14760 =  (377, 173) = 11
Disparity of Point  14761 =  (378, 173) = 11
Disparity of Point  14762 =  (378, 173) = 11
Disparity of Point  14773 =  (397, 173) = 10
Disparity of Point  14774 =  (447, 173) = 8
Disparity of Point  14775 =  (447, 173) = 8
Disparity of Point  14792 =  (678, 173) = 5
Disparity of Point  14793 =  (679, 173) = 5
Disparity of Point  14794 =  (679, 173) = 5
Disparity of Point  14795 =  (680, 173) = 5
Disparity of Point  14796 =  (680, 173) = 5
Disparity of Point  14815 =  (807, 173) = 12
Disparity of Point  14816 =  (807, 173) = 12
Disparity of Point  14826 =  (905, 173) = 18
Disparity of Point  14830 =  (935, 173) = 20
Disparity of Point  14831 =  (935, 173) = 20
Disparity of Point  14832 =  (936, 173) = 20
Disparity of Point  14833 =  (936, 173) = 20
Disparity of Point  14834 =  (942, 173) = 20
Disparity of Point  14835 =  (944, 173) = 20
Disparity of Point  14836 =  (944, 173) = 20
Disparity of Point  14838 =  (951, 173) = 21
Disparity of Point  14839 =  (951, 173) = 21
Disparity of Point  14842 =  (973, 173) = 22
Disparity of Point  14843 =  (973, 173) = 22
Disparity of Point  14844 =  (974, 173) = 22
Disparity of Point  14848 =  (987, 173) = 23
Disparity of Point  14849 =  (987, 173) = 23
Disparity of Point  14851 =  (993, 173) = 23
Disparity of Point  14852 =  (994, 173) = 23
Disparity of Point  14857 =  (1019, 173) = 25
Disparity of Point  14858 =  (1020, 173) = 25
Disparity of Point  14859 =  (1020, 173) = 25
Disparity of Point  14873 =  (1060, 173) = 27
Disparity of Point  14881 =  (447, 174) = 8
Disparity of Point  14882 =  (448, 174) = 8
Disparity of Point  14884 =  (456, 174) = 8
Disparity of Point  14885 =  (456, 174) = 8
Disparity of Point  14888 =  (458, 174) = 8
Disparity of Point  14889 =  (458, 174) = 8
Disparity of Point  14890 =  (459, 174) = 8
Disparity of Point  14891 =  (459, 174) = 8
Disparity of Point  14892 =  (463, 174) = 7
Disparity of Point  14893 =  (463, 174) = 7
Disparity of Point  14894 =  (464, 174) = 7
Disparity of Point  14895 =  (464, 174) = 7
Disparity of Point  14896 =  (465, 174) = 7
Disparity of Point  14897 =  (465, 174) = 7
Disparity of Point  14908 =  (687, 174) = 5
Disparity of Point  14909 =  (687, 174) = 5
Disparity of Point  14921 =  (805, 174) = 12
Disparity of Point  14922 =  (805, 174) = 12
Disparity of Point  14932 =  (883, 174) = 17
Disparity of Point  14933 =  (883, 174) = 17
Disparity of Point  14934 =  (892, 174) = 17
Disparity of Point  14935 =  (892, 174) = 17
Disparity of Point  14938 =  (903, 174) = 18
Disparity of Point  14939 =  (903, 174) = 18
Disparity of Point  14940 =  (904, 174) = 18
Disparity of Point  14941 =  (904, 174) = 18
Disparity of Point  14942 =  (905, 174) = 18
Disparity of Point  14945 =  (913, 174) = 18
Disparity of Point  14946 =  (913, 174) = 18
Disparity of Point  14952 =  (940, 174) = 20
Disparity of Point  14953 =  (940, 174) = 20
Disparity of Point  14954 =  (941, 174) = 20
Disparity of Point  14955 =  (941, 174) = 20
Disparity of Point  14956 =  (942, 174) = 20
Disparity of Point  14957 =  (947, 174) = 21
Disparity of Point  14963 =  (972, 174) = 22
Disparity of Point  14964 =  (972, 174) = 22
Disparity of Point  14965 =  (974, 174) = 22
Disparity of Point  14966 =  (974, 174) = 22
Disparity of Point  14967 =  (1004, 174) = 24
Disparity of Point  14968 =  (1004, 174) = 24
Disparity of Point  14969 =  (1005, 174) = 24
Disparity of Point  14970 =  (1005, 174) = 24
Disparity of Point  14971 =  (1006, 174) = 24
Disparity of Point  14972 =  (1006, 174) = 24
Disparity of Point  14975 =  (1008, 174) = 24
Disparity of Point  14976 =  (1008, 174) = 24
Disparity of Point  14977 =  (1009, 174) = 24
Disparity of Point  14978 =  (1009, 174) = 24
Disparity of Point  14980 =  (1017, 174) = 25
Disparity of Point  14981 =  (1018, 174) = 25
Disparity of Point  14982 =  (1018, 174) = 25
Disparity of Point  15017 =  (724, 175) = 24
Disparity of Point  15018 =  (725, 175) = 24
Disparity of Point  15025 =  (805, 175) = 12
Disparity of Point  15032 =  (878, 175) = 16
Disparity of Point  15035 =  (890, 175) = 17
Disparity of Point  15036 =  (890, 175) = 17
Disparity of Point  15037 =  (891, 175) = 17
Disparity of Point  15038 =  (891, 175) = 17
Disparity of Point  15039 =  (894, 175) = 17
Disparity of Point  15040 =  (910, 175) = 18
Disparity of Point  15042 =  (922, 175) = 19
Disparity of Point  15043 =  (922, 175) = 19
Disparity of Point  15044 =  (923, 175) = 19
Disparity of Point  15045 =  (923, 175) = 19
Disparity of Point  15046 =  (939, 175) = 20
Disparity of Point  15047 =  (939, 175) = 20
Disparity of Point  15054 =  (972, 175) = 22
Disparity of Point  15055 =  (974, 175) = 22
Disparity of Point  15056 =  (975, 175) = 22
Disparity of Point  15057 =  (975, 175) = 22
Disparity of Point  15068 =  (1022, 175) = 25
Disparity of Point  15092 =  (456, 176) = 8
Disparity of Point  15093 =  (456, 176) = 8
Disparity of Point  15094 =  (458, 176) = 8
Disparity of Point  15095 =  (467, 176) = 7
Disparity of Point  15096 =  (467, 176) = 7
Disparity of Point  15113 =  (687, 176) = 5
Disparity of Point  15114 =  (687, 176) = 5
Disparity of Point  15115 =  (725, 176) = 24
Disparity of Point  15116 =  (725, 176) = 24
Disparity of Point  15117 =  (726, 176) = 24
Disparity of Point  15124 =  (756, 176) = 12
Disparity of Point  15125 =  (756, 176) = 12
Disparity of Point  15126 =  (756, 176) = 12
Disparity of Point  15130 =  (870, 176) = 16
Disparity of Point  15131 =  (870, 176) = 16
Disparity of Point  15134 =  (877, 176) = 16
Disparity of Point  15135 =  (878, 176) = 16
Disparity of Point  15137 =  (919, 176) = 19
Disparity of Point  15138 =  (919, 176) = 19
Disparity of Point  15139 =  (920, 176) = 19
Disparity of Point  15140 =  (920, 176) = 19
Disparity of Point  15146 =  (932, 176) = 20
Disparity of Point  15147 =  (933, 176) = 20
Disparity of Point  15148 =  (933, 176) = 20
Disparity of Point  15149 =  (937, 176) = 20
Disparity of Point  15150 =  (937, 176) = 20
Disparity of Point  15151 =  (938, 176) = 20
Disparity of Point  15152 =  (938, 176) = 20
Disparity of Point  15153 =  (943, 176) = 20
Disparity of Point  15159 =  (951, 176) = 21
Disparity of Point  15160 =  (951, 176) = 21
Disparity of Point  15162 =  (990, 176) = 23
Disparity of Point  15163 =  (990, 176) = 23
Disparity of Point  15164 =  (992, 176) = 23
Disparity of Point  15165 =  (992, 176) = 23
Disparity of Point  15169 =  (1012, 176) = 24
Disparity of Point  15170 =  (1012, 176) = 24
Disparity of Point  15182 =  (457, 177) = 8
Disparity of Point  15183 =  (457, 177) = 8
Disparity of Point  15184 =  (457, 177) = 8
Disparity of Point  15185 =  (458, 177) = 8
Disparity of Point  15186 =  (459, 177) = 8
Disparity of Point  15187 =  (459, 177) = 8
Disparity of Point  15188 =  (461, 177) = 8
Disparity of Point  15189 =  (461, 177) = 8
Disparity of Point  15190 =  (462, 177) = 8
Disparity of Point  15191 =  (462, 177) = 8
Disparity of Point  15194 =  (500, 177) = 7
Disparity of Point  15195 =  (500, 177) = 7
Disparity of Point  15196 =  (502, 177) = 7
Disparity of Point  15209 =  (619, 177) = 5
Disparity of Point  15212 =  (687, 177) = 5
Disparity of Point  15228 =  (741, 177) = 11
Disparity of Point  15229 =  (741, 177) = 11
Disparity of Point  15236 =  (759, 177) = 12
Disparity of Point  15237 =  (759, 177) = 12
Disparity of Point  15239 =  (858, 177) = 15
Disparity of Point  15240 =  (858, 177) = 15
Disparity of Point  15244 =  (874, 177) = 16
Disparity of Point  15245 =  (874, 177) = 16
Disparity of Point  15246 =  (876, 177) = 16
Disparity of Point  15247 =  (876, 177) = 16
Disparity of Point  15249 =  (907, 177) = 18
Disparity of Point  15250 =  (909, 177) = 18
Disparity of Point  15251 =  (909, 177) = 18
Disparity of Point  15252 =  (910, 177) = 18
Disparity of Point  15253 =  (910, 177) = 18
Disparity of Point  15256 =  (944, 177) = 20
Disparity of Point  15257 =  (944, 177) = 20
Disparity of Point  15260 =  (972, 177) = 22
Disparity of Point  15261 =  (974, 177) = 22
Disparity of Point  15262 =  (978, 177) = 22
Disparity of Point  15263 =  (978, 177) = 22
Disparity of Point  15266 =  (980, 177) = 23
Disparity of Point  15267 =  (980, 177) = 23
Disparity of Point  15268 =  (981, 177) = 23
Disparity of Point  15269 =  (981, 177) = 23
Disparity of Point  15270 =  (982, 177) = 23
Disparity of Point  15271 =  (982, 177) = 23
Disparity of Point  15276 =  (986, 177) = 23
Disparity of Point  15277 =  (986, 177) = 23
Disparity of Point  15280 =  (988, 177) = 23
Disparity of Point  15281 =  (988, 177) = 23
Disparity of Point  15282 =  (1002, 177) = 24
Disparity of Point  15283 =  (1002, 177) = 24
Disparity of Point  15284 =  (1003, 177) = 24
Disparity of Point  15285 =  (1006, 177) = 24
Disparity of Point  15294 =  (1056, 177) = 27
Disparity of Point  15295 =  (1056, 177) = 27
Disparity of Point  15298 =  (463, 178) = 8
Disparity of Point  15299 =  (463, 178) = 8
